Strategy,OOS_trades,OOS_win_rate_pct,OOS_sharpe,OOS_profit_factor,OOS_total_return_pct,Qualified
Donchian_EFI_Bear_Short,0,0,0,0,0,no
1h_WMA5_WMA13_Bear_Short,0,0,0,0,0,no
1h_WR_CMF_Bear_Short,0,0,0,0,0,no
1h_RSI_CMF_Bear_Short,0,0,0,0,0,no
1h_EFI_CMF_Bear_Short,0,0,0,0,0,no
1h_DEMA_CMF_Bear_Short,0,0,0,0,0,no
1h_BB_Mid_CMF_Bear_Short,0,0,0,0,0,no
1h_KST_CMF_Bear_Short,0,0,0,0,0,no
1h_StochRSI_CMF_Bear_Short,0,0,0,0,0,no
StochRSI_Cross,0,0,0,0,0,no
WMA9_Donchian_Bear_Short,0,0,0,0,0,no
Fisher_Transform_Signal,0,0,0,0,0,no
WilliamsR_Hammer,0,0,0,0,0,no
BB_Mid_ADX_Bear_Short,0,0,0,0,0,no
Keltner_ADX_Bear_Short,0,0,0,0,0,no
Donchian_ADX_Bear_Short,0,0,0,0,0,no
RSI55_Break_ADX_Short,0,0,0,0,0,no
MACD_Hist_Flip_ADX_Short,0,0,0,0,0,no
Supertrend_CMF_ADX_Bear_Short,0,0,0,0,0,no
ZLEMA_Momentum_Scalp,0,0,0,0,0,no
Aroon_EFI_Bear_Short,0,0,0,0,0,no
1h_WMA9_ADX_EFI_Bear_Short,0,0,0,0,0,no
1h_EMA9_CMF_Bear_Short,0,0,0,0,0,no
1h_EMA9_EFI_Bear_Short,0,0,0,0,0,no
Fisher_ADX_Bear_Short,0,0,0,0,0,no
EFI_CMF_Bear_Dual_Short,0,0,0,0,0,no
WR_CMF_Bear_Short,0,0,0,0,0,no
Aroon_CMF_Bear_V_Short,0,0,0,0,0,no
Fisher_ADX_OBV_Bear_Short,0,0,0,0,0,no
WMA_ADX_OBV_Bear_Short,0,0,0,0,0,no
EFI_ADX_CMF_Bear_V2_Short,0,0,0,0,0,no
StochRSI_ADX_CMF_Bear_V2_Short,0,0,0,0,0,no
EFI_Zero_EMA_MACD_Bear_Short,0,0,0,0,0,no
Higher_Low_Confirm_Long,0,0,0,0,0,no
OBV_Decline_EMA_MACD_Bear_Short,0,0,0,0,0,no
WMA_Cross_EMA_MACD_Bear_Short,0,0,0,0,0,no
1h_Close_Low_Range_Short,0,0,0,0,0,no
Fisher_EMA_MACD_Bear_Short,0,0,0,0,0,no
Two_Lower_Highs_EMA_MACD_Bear_Short,0,0,0,0,0,no
Donchian_EMA_MACD_Bear_Short,0,0,0,0,0,no
1h_CMF_Cross_EMA_MACD_Bear_Short,0,0,0,0,0,no
1h_Three_Bear_Candles_Short,0,0,0,0,0,no
Keltner_EMA_MACD_Bear_Short,0,0,0,0,0,no
